PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
13563,"Kirk Cousins",5100,QB,ATL,LAR,147574,,34.26,21.72,215.07,1.41,0.75,0.64,1.27,0.05,0,0,0,0,14.14,2.77,,0,0.00%,MNF,403308,2307,1,13563,14.13,14.13,216.34,1.46,216.34,1.46,1.27,0.05,0,8.13,21.73,,
3491931,"Tyler Allgeier",4700,RB,ATL,LAR,147574,,0,0,0,0,0,6.4,24.93,0.24,1.09,0.86,6.14,0.04,5.63,1.2,,0,0.00%,MNF,1131198,125422,2,3491931,5.6,5.17,31.07,0.28,24.93,0.24,31.07,0.28,0,2.13,14.12,,
4687512,"Bijan Robinson",8700,RB,ATL,LAR,147574,,0,0,0,0,0,16.48,71.35,0.57,7.11,5.14,39.45,0.23,21.65,2.49,,0,0.00%,MNF,1228244,123168,3,4687512,21.56,18.99,110.8,0.8,71.35,0.57,110.8,0.8,0,13.44,33.21,,
8261767,"Nate Carter",4000,RB,ATL,LAR,147574,,0,0,0,0,0,0.11,0.48,0,0.01,0.01,0.05,0,0.06,0.02,,0,0.00%,MNF,1214132,134222,4,8261767,0.07,0.06,0.53,0,0.48,0,0.53,0,0,0,0.12,,
982204,"David Sills",3300,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,1.8,1.04,9.99,0.07,2.45,0.74,,0,0.00%,MNF,866973,65587,5,982204,2.45,1.93,9.99,0.07,0,0,9.99,0.07,0,0,6.74,,
1844218,"Darnell Mooney",3800,WR,ATL,LAR,147574,,0,0,0,0,0,0.02,0.08,0,4.69,2.76,31.41,0.17,6.94,1.83,,0,0.00%,MNF,912027,62802,6,1844218,6.92,5.54,31.49,0.17,0.08,0,31.49,0.17,0,2.42,14.57,,
3491928,"Drake London",6800,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,9.75,6.74,68.02,0.46,16.77,2.47,,0,0.00%,MNF,1178741,140160,7,3491928,16.73,13.36,68.02,0.46,0,0,68.02,0.46,0,9.68,27.2,,
4773069,"Dylan Drummond",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.78,0.48,4,0.03,1.06,0.35,,0,0.00%,MNF,1108534,48414,8,4773069,1.05,0.81,4,0.03,0,0,4,0.03,0,0,2.12,,
3515974,"Deven Thompkins",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.1,0.06,0.41,0,0.1,0.03,,0,0.00%,MNF,1130833,49660,9,3515974,0.1,0.07,0.41,0,0,0,0.41,0,0,0,0.2,,
2595531,"Chris Blair",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.1,0.06,0.58,0,0.12,0.04,,0,0.00%,MNF,1120347,44825,10,2595531,0.12,0.09,0.58,0,0,0,0.58,0,0,0,0.24,,
1849814,"Charlie Woerner",2500,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.8,0.56,4.08,0.04,1.2,0.48,,0,0.00%,MNF,922040,58179,11,1849814,1.2,0.92,4.08,0.04,0,0,4.08,0.04,0,0,2.4,,
2862126,"Kyle Pitts",5300,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,7.99,5.25,51.79,0.36,12.72,2.4,,0,0.00%,MNF,1123026,54917,12,2862126,12.67,10.04,51.79,0.36,0,0,51.79,0.36,0,6.41,22.57,,
3491690,"Teagan Quitoriano",2500,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.05,0.03,0.31,0,0.06,0.02,,0,0.00%,MNF,1128538,63778,13,3491690,0.07,0.05,0.31,0,0,0,0.31,0,0,0,0.12,,
