PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6200,PG/SG,ATL,CHA,159249,522878,-,28.5,16.83,2.63,2.78,2.37,1.34,0.67,0.64,19.61,19.46,22.24,1.31,5.41,8.44,3.89,6.12,2.52,1.93,14.56,6.26,26.75,26.75,27.42,4.42,2.56%,135,136,SAT,12451,1,17121,19.69,36.48,3.16,3.16,7.51,19.3,24.04,27.42,30.72,36.31,38.34,47.73,
35206,"Buddy Hield",4100,SG/SF,ATL,CHA,159249,697086,-,10.5,4.08,1.25,0.85,0.91,0.5,0.6,0.26,4.93,5.33,6.18,0.86,2.1,1.22,0.53,2.48,0.34,0.28,3.7,1.44,8.94,8.94,8.84,2.16,0.48%,135,136,SAT,27988,2,35206,4.4,14.2,0,0,0,4.29,6.96,8.84,10.98,14.47,15.8,22.5,
574538,"Gabe Vincent",3000,PG/SG,ATL,CHA,159249,851253,-,9.5,2.21,0.43,0.54,0.57,0.12,0.41,0.01,2.75,2.64,3.18,0.42,0.97,0.54,0.2,1.61,0.12,0.1,2.15,0.77,4.68,4.68,4.62,1.54,0.34%,135,136,SAT,73848,3,574538,1.28,9.32,0,0,0,1.44,3.18,4.62,6.35,9.53,10.4,16.46,
1115445,"Nickeil Alexander-Walker",7100,SG,ATL,CHA,159249,1067668,,32,17.49,2.66,3.56,2.8,1.29,1.67,0.6,21.05,20.15,23.71,2.27,6.22,7.28,3.16,7.28,3.27,2.78,14.56,5.96,31.54,31.54,31.46,4.43,2.33%,135,136,SAT,69666,4,1115445,23.01,40.39,3.13,3.13,5.31,22.83,27.91,31.46,35.01,40.59,42.88,53.28,
2439277,"Onyeka Okongwu",7400,C,ATL,CHA,159249,1185367,,29,14.13,6.28,2.66,1.43,1.54,1.48,0.96,16.79,20.41,23.07,2.44,8.94,7.41,3.84,3.98,2.81,2.16,11.39,5.27,31.44,31.44,30.88,4.17,0.56%,135,136,SAT,91845,5,2439277,23.24,39.22,1.05,1.05,2.18,23.22,27.56,30.88,34.2,39.3,41.6,51.3,
3005263,"Jalen Johnson",10900,PF,ATL,CHA,159249,1230356,,35,22.96,9.82,7.22,1.76,3.1,1.09,0.61,30.18,32.78,40,1.7,17.04,13.91,6.68,5.13,5.72,4.33,19.04,8.44,47.57,47.57,49.7,4.56,4.71%,135,136,SAT,165214,6,3005263,39.48,60.68,2.98,2.98,8.13,39.45,45.34,49.7,54.06,60.97,63.79,74.55,
3005340,"Corey Kispert",4200,SF,ATL,CHA,159249,1077554,,18,7.72,1.38,1.18,1.41,0.47,0.31,0.07,8.9,9.1,10.28,0.38,2.56,2.61,1.23,3.74,1.28,1.01,6.35,2.64,11.82,11.82,12.45,2.96,0.51%,135,136,SAT,72585,7,3005340,7.21,18.79,0.19,0.19,0.16,7,10.12,12.45,15.04,18.68,20.23,28.02,
3012652,"Jock Landale",6000,C,ATL,CHA,159249,850308,,21,9.53,5.69,1.33,0.75,0.94,0.45,0.48,10.86,15.22,16.55,0.93,7.02,5.41,2.88,1.93,2.17,1.52,7.34,3.63,20.2,20.2,20.43,3.41,0.31%,135,136,SAT,74198,9,3012652,14.27,27.13,0.13,0.13,0.25,14.22,17.59,20.43,23.02,27.15,28.96,37.76,
3587713,"Christian Koloko",3200,C,ATL,CHA,159249,1193674,,0.5,0.11,0.09,0.02,0,0.01,0.01,0.03,0.13,0.2,0.22,0.04,0.11,0.1,0.05,0,0.02,0.01,0.1,0.05,0.36,0.36,0.33,0.1,0.05%,135,136,SAT,92616,10,3587713,0.05,0.66,0,0,0,0.14,0.24,0.33,0.42,0.57,0.6,0.63,
3587993,"Dyson Daniels",6700,PG,ATL,CHA,159249,1357745,,32,10.76,5.26,5.94,0.47,1.38,1.79,0.38,16.7,16.02,21.96,2.17,11.2,8.6,4.17,1.78,1.7,1.02,10.38,4.64,31.11,31.11,30.21,4.51,1.94%,135,136,SAT,195261,12,3587993,23.01,38.64,2.68,2.68,4.45,22.98,27.11,30.21,33.57,38.73,41.05,50.61,
