PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,TBD,,1057102,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,39,,942480,0,0,,,,87789,1,1.15,1.15,1,
31733,"Connor McDavid",,C,CAN,TBD,,878032,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,37.33,,31733,0,0,,,,31006,1,1.15,1.15,2,
17128,"Tom Wilson",,W,CAN,TBD,,659860,1,,,0.2077,0.2099,1.3797,0,0,0,0,0,0,0,0.4176,0,4.96,0,13.05,6.67,,17128,2.124,4.53,12.9,,,30148,1,6.32,8.99,3,
35733,"Devon Toews",,D,CAN,TBD,,831460,1,,,0.0879,0.3678,1.4478,0,0,0,0,0,0,0,0.4557,0,4.84,0,12.69,20.67,,35733,0.752,3.82,16.2,,,83302,1,6.13,8.95,4,
6418266,"Macklin Celebrini",,C,CAN,TBD,,1497708,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,23,,6418266,0,0,,,,449320,1,1.15,1.15,5,
16668,"Nathan MacKinnon",,C,CAN,TBD,,741404,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,33.67,,16668,0,0,,,,30677,1,1.15,1.15,6,
31680,"Colton Parayko",,D,CAN,TBD,,680852,2,,,0.0615,0.1821,1.0999,0,0,0,0,0,0,0,0.2436,0,3.13,0,9.11,5.67,,31680,1.094,2.74,16.5,,,30565,1,4.67,6.64,7,
37779,"Nick Suzuki",,C,CAN,TBD,,1057111,2,,,0.1539,0.2556,1.1297,0,0,0,0,0,0,0,0.4095,0,4.33,0,11.36,5.67,,37779,0.6,3.38,12.6,,,40159,1,5.49,7.94,8,
1279531,"Brandon Hagel",,W,CAN,TBD,,920496,2,,,0.2827,0.2835,1.8041,0,0,0,0,0,0,0,0.5662,0,6.71,0,15.79,8.67,,1279531,0.57,4.92,13.6,,,92058,1,7.09,10.06,9,
34600,"Josh Morrissey",,D,CAN,TBD,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,TBD,,556369,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,17,,17172,0,0,,,,31019,1,1.15,1.15,11,
14383,"Drew Doughty",,D,CAN,TBD,,456625,3,,,0.0429,0.1429,0.7208,0,0,0,0,0,0,0,0.1858,0,2.17,0,7.83,3,,14383,0.616,1.86,16.1,,,29920,1,4.42,6.27,12,
14202,"Sidney Crosby",,C,CAN,TBD,,296786,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,19,,14202,0,0,,,,30424,1,1.15,1.15,13,
1283915,"Thomas Harley",,D,CAN,TBD,,1172200,2,,,0.0798,0.2177,1.2001,0,0,0,0,0,0,0,0.2975,0,3.6,0,9.88,5.67,,1283915,0.594,2.85,15,,,92099,1,4.91,7.02,14,
