PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37814,"Luke Kennard",3100,PG/SG,ATL,OKC,157139,887661,-,16,5.95,1.9,1.42,1.28,0.84,0.72,0,7.37,7.85,9.27,0.72,3.32,1.56,0.76,2.93,0.67,0.6,4.49,2.04,11.68,11.68,12.12,3.91,0.36%,135,148,MON,38279,2,37814,6.41,19.18,0,0,3.14,6.38,9.57,12.12,14.99,19.46,21.05,29.03,
409063,"Trae Young",8800,PG,ATL,OKC,157139,1060978,Q,29.5,19.66,2.25,8.21,2.34,4.29,0.87,0.27,27.87,21.91,30.12,1.14,10.46,7.79,3.29,6.86,7.01,6.06,14.65,5.63,33.81,33.81,36.6,4.16,1.21%,135,148,MON,75299,3,409063,27.93,46.31,4.68,4.68,2.92,27.73,32.74,36.6,40.46,46.38,48.88,59.11,
1115445,"Nickeil Alexander-Walker",6400,SG/SF,ATL,OKC,157139,1067668,-,29.5,17.39,3.37,2.32,2.25,2.51,0.76,0.67,19.71,20.76,23.08,1.43,5.69,9.18,4.01,5.86,3.14,2.62,15.04,6.26,26.69,26.69,27.82,4.35,0.40%,135,148,MON,69666,4,1115445,20.15,36.52,1.67,1.67,4.16,20.05,24.56,27.82,31.33,36.59,38.85,48.87,
2439277,"Onyeka Okongwu",7800,C,ATL,OKC,157139,1185367,,32.5,16.08,8.2,2.57,1.3,2.05,0.93,1,18.65,24.28,26.85,1.93,10.77,8.8,4.6,3.74,3.91,2.97,12.54,5.9,33.52,33.52,34.14,4.38,0.48%,135,148,MON,91845,5,2439277,26.37,42.66,1.77,1.77,3.4,26.24,30.89,34.14,37.86,42.97,45.06,54.81,
2439347,"Vit Krejci",3500,SG/SF,ATL,OKC,157139,1257428,,24,9.53,2.67,1.04,2.31,1.11,0.65,0.16,10.57,12.2,13.24,0.81,3.71,1.93,0.96,5.18,0.92,0.68,7.11,3.27,15.61,15.61,16.65,4.76,1.76%,135,148,MON,161284,6,2439347,10.28,24.13,4.05,4.05,8.85,10.15,13.79,16.65,19.51,24.19,26.28,34.86,
3587895,"Caleb Houstan",3000,SF/PF,ATL,OKC,157139,1324361,,2,0.93,0.29,0.04,0.26,0.08,0.02,0.01,0.97,1.22,1.26,0.03,0.33,0.09,0.04,0.66,0.09,0.07,0.75,0.3,1.35,1.35,1.5,0.5,0.00%,135,148,MON,180322,8,3587895,0.61,2.69,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
3587993,"Dyson Daniels",6800,PG/SG,ATL,OKC,157139,1357745,,32.5,12.56,7.08,4.81,0.55,2.67,1.21,0.3,17.37,19.64,24.45,1.51,11.89,9.93,4.85,2.07,2.02,1.22,12,5.4,30.13,30.13,30.86,4.54,1.21%,135,148,MON,195261,9,3587993,23.51,38.92,4.06,4.06,4.41,23.44,27.75,30.86,34.21,38.99,41.15,50.72,
4388493,"Keaton Wallace",3000,PG,ATL,OKC,157139,1063166,,6,2.34,0.97,0.66,0.38,0.39,0.19,0.05,3,3.31,3.97,0.24,1.63,0.92,0.4,1.1,0.49,0.4,2.02,0.78,4.82,4.82,5.02,1.67,0.45%,135,148,MON,245561,10,4388493,1.65,10.04,0,0,0,2.15,3.59,5.02,6.45,8.61,9.15,9.56,
4878163,"Mouhamed Gueye",3000,PF/C,ATL,OKC,157139,1325101,,19,6.58,5.6,1.04,0.61,0.92,0.48,0.54,7.62,12.18,13.22,1.02,6.64,3.79,1.8,1.71,1.51,1.16,5.5,2.41,17,17,17.03,5.68,0.36%,135,148,MON,180180,11,4878163,11.38,23.35,10.2,10.2,13.98,11.44,14.64,17.03,19.52,23.42,25.28,32.73,
6412725,"Zaccharie Risacher",3800,SF,ATL,OKC,157139,1432544,,25,10.49,3.67,1.55,1.46,1.21,0.93,0.46,12.04,14.16,15.71,1.39,5.22,5.29,2.42,4.29,1.83,1.28,9.58,3.88,20.18,20.18,20.32,5.35,29.33%,135,148,MON,368366,13,6412725,14.22,27.15,20.79,20.79,13.34,14.09,17.78,20.32,23.09,27.48,29.33,37.18,
8985462,"Asa Newell",3300,PF/C,ATL,OKC,157139,1524332,,22,8.42,5.14,1.16,0.96,1.12,0.54,0.36,9.58,13.56,14.72,0.9,6.3,4.52,2.05,2.78,1.86,1.46,7.3,3.01,17.91,17.91,18.33,5.55,22.07%,135,148,MON,457543,15,8985462,12.67,25.33,13.44,13.44,14.6,12.46,15.89,18.33,20.77,25.17,26.88,34.46,
6052099,"Malik Williams",3000,C,ATL,OKC,157139,1076185,,2,0.99,0.24,0.22,0.13,0.13,0.06,0.02,1.21,1.23,1.45,0.08,0.46,0.49,0.21,0.37,0.21,0.18,0.86,0.34,1.72,1.72,1.78,0.59,0.00%,135,148,MON,74370,17,6052099,0.95,2.8,0,0,0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,
409154,"Michael Porter Jr.",8400,SF,BKN,GSW,157137,1061724,,33,23.53,7.6,2.68,3.7,2.32,0.74,0.3,26.21,31.13,33.81,1.04,10.28,9.74,4.84,9.38,3.39,2.73,19.12,8.54,37.47,37.47,40.37,4.81,12.30%,126,150,MON,75295,18,409154,31.49,50.27,16.56,16.56,10.78,31.48,36.28,40.37,44.06,49.98,53.11,64.16,
1115132,"Nic Claxton",6100,C,BKN,GSW,157137,1061682,,30,13.69,8.25,4.07,0.04,1.97,0.63,1.23,17.76,21.94,26.01,1.86,12.32,9.5,5.63,0.24,3.81,2.29,9.74,5.67,33.31,33.31,33.24,5.45,10.62%,126,150,MON,71024,20,1115132,25.37,41.63,12.4,12.4,23.93,25.18,29.71,33.24,36.51,41.55,43.82,53.39,
