PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
37794,"Jarrett Allen",,,CLE,NYK,156896,956574,-,28,14.01,9.31,2.1,0.01,1.52,0.93,1.16,16.11,23.32,25.42,2.09,11.41,8.45,5.42,0.11,4.18,3.15,8.56,5.43,33.08,33.08,32.74,25.13,41.04,11.59,11.59,10.99,24.99,29.24,32.74,35.99,40.99,42.99,51.48,7.64%,131,127,THURS,38286,2,37794,
37875,"Donovan Mitchell",,,CLE,NYK,156896,879707,-,33,28.68,4.16,4.35,3.89,2.76,1.1,0.16,33.03,32.84,37.19,1.26,8.51,11.55,5.41,10.47,7.47,6.2,22.02,9.3,41.22,41.22,43.53,33.68,53.98,18.67,18.67,9.22,33.39,39.24,43.53,47.49,53.92,56.64,69.25,16.76%,131,127,THURS,38278,3,37875,
37885,"Lonzo Ball",,,CLE,NYK,156896,946714,-,21,4.96,3.94,3.19,1.27,0.98,1.37,0.17,8.15,8.9,12.09,1.54,7.13,1.02,0.34,4.19,0.64,0.47,5.21,1.61,18.11,18.11,17.9,10.89,26.2,0,0,2.82,12.53,12.53,12.53,12.53,12.53,12.53,12.53,0.00%,131,127,THURS,38269,4,37885,
1115224,"Darius Garland",,,CLE,NYK,156896,1134262,,31,18.92,3,5.99,2.69,2.53,0.98,0.14,24.91,21.92,27.91,1.12,8.99,8.78,3.83,7.25,3.66,3.2,16.03,6.52,32.34,32.34,34.14,25.51,43.62,3.22,3.22,4.49,25.48,30.43,34.14,37.85,43.79,46.51,57.89,1.23%,131,127,THURS,86449,5,1115224,
1115296,"De'Andre Hunter",,,CLE,NYK,156896,942857,,26,11.92,3.75,1.09,1.64,0.95,0.8,0.16,13.01,15.67,16.76,0.96,4.84,4.65,2.07,4.46,3.35,2.85,9.11,3.71,19.99,19.99,20.51,14.45,27.42,0.22,0.22,1.04,14.55,17.89,20.51,23.13,27.66,29.57,37.68,0.09%,131,127,THURS,70224,6,1115296,
1144092,"Dean Wade",,,CLE,NYK,156896,880677,,18,3.82,4.23,1.31,0.99,0.19,0.44,0.17,5.13,8.05,9.36,0.61,5.54,0.65,0.27,2.82,0.47,0.32,3.47,1.26,12.5,12.5,12.7,8.43,17.8,0.42,0.42,0.01,8.4,10.65,12.7,14.75,17.93,19.24,25.4,0.43%,131,127,THURS,72850,7,1144092,
2439420,"Sam Merrill",,,CLE,NYK,156896,953106,,26,9.94,3.11,2.66,2.84,0.66,0.67,0.27,12.6,13.05,15.71,0.94,5.77,0.95,0.4,7.07,0.66,0.62,8.02,3.24,19.82,19.82,20.79,13.75,28.47,2.74,2.74,14.74,13.62,17.68,20.79,23.66,28.68,30.59,38.95,7.83%,131,127,THURS,72801,9,2439420,
3005190,"Evan Mobley",,,CLE,NYK,156896,1231862,Q,28,15.9,7.57,2.73,1.08,1.54,0.45,1.16,18.63,23.47,26.2,1.61,10.3,8.74,4.71,2.91,4.64,3.23,11.65,5.79,32.37,32.37,33.15,24.08,43.1,0,0,1.84,23.21,23.21,23.21,23.21,23.21,23.21,23.21,0.00%,131,127,THURS,149666,10,3005190,
6412819,"Jaylon Tyson",,,CLE,NYK,156896,1342747,,21,8.52,3.95,1.76,1.25,0.88,0.7,0.27,10.28,12.47,14.23,0.97,5.71,3.62,1.62,3.63,1.98,1.55,7.25,2.87,17.93,17.93,18.23,12.89,24.31,0.16,0.16,0,12.88,15.85,18.23,20.61,24.37,25.96,32.5,0.08%,131,127,THURS,180082,14,6412819,
7796671,"Nae'Qwan Tomlin",,,CLE,NYK,156896,1403628,,4,1.42,0.71,0.16,0.11,0.06,0.25,0.19,1.58,2.13,2.29,0.44,0.87,0.87,0.4,0.47,0.42,0.29,1.34,0.51,3.77,3.77,3.45,1.5,5.83,0,0,0,1.31,2.63,3.45,4.27,5.75,6.41,9.36,0.16%,131,127,THURS,245036,15,7796671,
