PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,LAR,147574,,34.26,21.72,215.07,1.44,0.75,0.64,1.26,0.05,0,0,0,0,14.26,14.25,14.25,216.33,1.49,216.33,1.49,1.26,0.05,0,8.4,22.37,1.6,30.94,0,0.00%,MNF,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,LAR,147574,,0,0,0,0,0,5.53,21.46,0.22,1.2,0.94,6.8,0.04,5.3,5.28,4.81,28.26,0.26,21.46,0.22,28.26,0.26,0,1.9,13.24,0.56,9.36,0,0.00%,MNF,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,LAR,147574,,0,0,0,0,0,17.34,74.78,0.61,7.34,5.3,40.91,0.24,22.74,22.64,19.99,115.69,0.85,74.78,0.61,115.69,0.85,0,13.73,33.88,26.5,58.6,0,0.00%,MNF,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,LAR,147574,,0,0,0,0,0,0.11,0.48,0,0.01,0.01,0.05,0,0.06,0.07,0.06,0.53,0,0.48,0,0.53,0,0,0,0.12,,,0,0.00%,MNF,1214132,134222,4,8261767,
982204,"David Sills",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,1.7,0.98,9.48,0.08,2.4,2.4,1.91,9.48,0.08,0,0,9.48,0.08,0,0,6.6,0.08,4.12,0,0.00%,MNF,866973,65587,5,982204,
1844218,"Darnell Mooney",,WR,ATL,LAR,147574,,0,0,0,0,0,0.02,0.08,0,4.45,2.61,29.93,0.2,6.83,6.82,5.51,30.01,0.2,0.08,0,30.01,0.2,0,2.38,14.68,1.66,19.04,0,0.00%,MNF,912027,62802,6,1844218,
3491928,"Drake London",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,9.53,6.57,65.04,0.43,16.01,15.97,12.68,65.04,0.43,0,0,65.04,0.43,0,9.01,27.28,11.06,37.96,0,0.00%,MNF,1178741,140160,7,3491928,
4773069,"Dylan Drummond",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.68,0.41,3.5,0.03,0.94,0.94,0.73,3.5,0.03,0,0,3.5,0.03,0,0,1.88,0.02,1.58,0,0.00%,MNF,1108534,48414,8,4773069,
3515974,"Deven Thompkins",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.08,0.05,0.33,0,0.08,0.09,0.06,0.33,0,0,0,0.33,0,0,0,0.16,,,0,0.00%,MNF,1130833,49660,9,3515974,
2595531,"Chris Blair",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.08,0.05,0.46,0,0.1,0.1,0.07,0.46,0,0,0,0.46,0,0,0,0.2,,,0,0.00%,MNF,1120347,44825,10,2595531,
1849814,"Charlie Woerner",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.83,0.58,4.25,0.04,1.24,1.23,0.94,4.25,0.04,0,0,4.25,0.04,0,0,2.48,0.02,2.94,0,0.00%,MNF,922040,58179,11,1849814,
2862126,"Kyle Pitts",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,8.3,5.44,54.05,0.37,13.21,13.16,10.44,54.05,0.37,0,0,54.05,0.37,0,6.49,23.51,9.72,36.16,0,0.00%,MNF,1123026,54917,12,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.05,0.03,0.31,0,0.06,0.07,0.05,0.31,0,0,0,0.31,0,0,0,0.12,,,0,0.00%,MNF,1128538,63778,13,3491690,
36842,"Zane Gonzalez",,K,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0,0,0,0,8.02,8.02,8.02,0,0,0,0,0,0,7.06,3.1,14.18,,,0,0.00%,MNF,732774,33774,14,36842,
18442,"Los Angeles Rams",,DST,LAR,ATL,147574,,0,0,0,0,0,0,0,0,0,0,0,0,6.55,6.55,6.55,0,0,0,0,0,0,0,1.77,13.03,4.16,28.98,0,0.00%,MNF,343,8491,15,18442,
35493,"Jacoby Brissett",,QB,ARI,CIN,147571,,34.7,22.01,248.76,1.57,0.45,4.12,13.2,0.15,0,0,0,0,18.56,18.53,18.53,261.96,1.72,261.96,1.72,13.2,0.15,0,11.64,27.45,7.7,52,0,0.00%,SUN,607047,26395,16,35493,
2861839,"Michael Carter",,RB,ARI,CIN,147571,,0,0,0,0,0,12.41,48.94,0.35,3.03,2.18,16.9,0.07,11.32,11.26,10.17,65.84,0.42,48.94,0.35,65.84,0.42,0,6.07,19.33,3.34,31.2,0,0.00%,SUN,976329,162975,17,2861839,
4715680,"Emari Demercado",,RB,ARI,CIN,147571,,0,0,0,0,0,5.2,21.23,0.15,1.6,1.1,9.9,0.04,5.33,5.3,4.75,31.13,0.19,21.23,0.15,31.13,0.19,0,1.91,12.23,0.34,7.62,0,0.00%,SUN,1116817,92713,18,4715680,
8268732,"Corey Kiner",,RB,ARI,CIN,147571,,0,0,0,0,0,3.39,14.17,0.09,0.1,0.07,0.57,0,2.06,2.05,2.01,14.74,0.09,14.17,0.09,14.74,0.09,0,0.24,5.67,0,0.74,0,0.00%,SUN,1286050,169851,19,8268732,
4687487,"Michael Wilson",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.64,4.13,51.37,0.28,11.11,11.09,9.02,51.37,0.28,0,0,51.37,0.28,0,5.23,19.71,4.84,22.18,0,0.00%,SUN,1123529,42545,20,4687487,
4687678,"Jalen Brooks",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.34,0.18,2.34,0.01,0.47,0.47,0.38,2.34,0.01,0,0,2.34,0.01,0,0,0.94,0,0.5,0,0.00%,SUN,1223301,171671,21,4687678,
6227657,"Xavier Weaver",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.7,1.53,16.57,0.11,3.84,3.83,3.06,16.57,0.11,0,0,16.57,0.11,0,0.12,10.43,0.24,9.94,0,0.00%,SUN,1180538,128333,22,6227657,
6227661,"Marvin Harrison",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.58,3.7,50.26,0.28,10.57,10.55,8.7,50.26,0.28,0,0,50.26,0.28,0,4.69,19.44,5.48,25.62,0,0.00%,SUN,1287828,169993,23,6227661,
1001771,"Steven Sims",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.04,0.02,0.23,0,0.04,0.04,0.03,0.23,0,0,0,0.23,0,0,0,0.08,,,0,0.00%,SUN,877596,68246,24,1001771,
1844275,"Josiah Deguara",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.07,0.05,0.48,0,0.1,0.1,0.07,0.48,0,0,0,0.48,0,0,0,0.2,,,0,0.00%,SUN,866149,45301,25,1844275,
